distortion,flips_mean,flips_max,bytes_mean,recoverable,detect_ber0.00,detect_ber0.05,detect_ber0.10
identity,0.0,0,0.0,1.0,1.0,1.0,0.39285714285714285
jpeg-80,13.214285714285714,22,11.142857142857142,1.0,1.0,1.0,0.5357142857142857
jpeg-50,19.642857142857142,32,15.0,0.7142857142857143,0.7142857142857143,0.7142857142857143,0.39285714285714285
crop-90,20.142857142857142,39,14.357142857142858,0.6428571428571429,0.6428571428571429,0.6428571428571429,0.39285714285714285
crop-70,31.857142857142858,58,20.142857142857142,0.2857142857142857,0.2857142857142857,0.2857142857142857,0.21428571428571427
rot-5,29.428571428571427,45,20.071428571428573,0.2857142857142857,0.2857142857142857,0.2857142857142857,0.17857142857142858
rot-15,35.214285714285715,55,21.285714285714285,0.2857142857142857,0.2857142857142857,0.2857142857142857,0.17857142857142858
bright-0.7,3.5,8,3.357142857142857,1.0,1.0,1.0,0.4642857142857143
bright-1.5,11.0,19,9.142857142857142,1.0,1.0,1.0,0.39285714285714285
contrast-1.5,9.642857142857142,19,8.357142857142858,1.0,1.0,1.0,0.5
noise-0.02,15.142857142857142,26,12.178571428571429,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.5357142857142857
crop-80+jpeg-60,29.428571428571427,46,19.785714285714285,0.21428571428571427,0.21428571428571427,0.21428571428571427,0.10714285714285714
crop-70+jpeg-50,35.57142857142857,61,21.928571428571427,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.07142857142857142
rot-5+jpeg-70,33.714285714285715,49,19.857142857142858,0.2857142857142857,0.2857142857142857,0.2857142857142857,0.10714285714285714
noise+jpeg-60,22.285714285714285,40,16.142857142857142,0.5714285714285714,0.5714285714285714,0.5714285714285714,0.14285714285714285
