distortion,flips_mean,flips_max,bytes_mean,recoverable,detect_ber0.00,detect_ber0.05,detect_ber0.10
identity,0.0,0,0.0,1.0,1.0,0.9995293840814166,0.5037159048571485
jpeg-80,13.349138184599093,66,10.986293311371258,0.2633488244406534,0.2633488244406534,0.2632899974508304,0.13138027727121204
jpeg-50,21.62219346236053,91,15.8891699511736,0.031197913602760946,0.031197913602760946,0.031197913602760946,0.01590289624879895
crop-90,24.939859207404357,88,17.56803341373022,0.012020314920485518,0.012020314920485518,0.012020314920485518,0.005863089985685433
crop-70,37.19946271349295,121,22.3432554856168,0.00027452595250701024,0.00027452595250701024,0.00027452595250701024,0.00013726297625350512
rot-5,35.74406337627703,98,21.955409141714217,0.0002941349491146538,0.0002941349491146538,0.0002941349491146538,0.0001568719728611487
rot-15,47.91470086475675,116,25.375571112026197,1.9608996607643588e-05,1.9608996607643588e-05,1.9608996607643588e-05,0.0
bright-0.7,4.181951879522325,24,3.9313096848834244,0.9722336608035766,0.9722336608035766,0.9719199168578544,0.486518814832245
bright-1.5,16.437751240269037,104,12.656371943447654,0.21887562013451772,0.21887562013451772,0.21865992117183364,0.11057513187050219
contrast-1.5,14.997411612447792,97,11.882208757377885,0.24601447143949645,0.24601447143949645,0.24579877247681237,0.12369355060101575
noise-0.02,14.582818597172382,72,11.761280075298547,0.21956193501578525,0.21956193501578525,0.21938545404631646,0.11020256093495696
crop-80+jpeg-60,33.50369629586054,107,21.127536913936115,0.0006274878914445948,0.0006274878914445948,0.0006274878914445948,0.000333352942329941
crop-70+jpeg-50,39.624330842990766,123,23.093829048767574,0.0001568719728611487,0.0001568719728611487,0.0001568719728611487,5.882698982293076e-05
rot-5+jpeg-70,38.361785987411025,105,22.839931760691805,0.00013726297625350512,0.00013726297625350512,0.00013726297625350512,7.843598643057435e-05
noise+jpeg-60,22.420044316332334,86,16.319077592799577,0.025079906661176148,0.025079906661176148,0.025079906661176148,0.012569366825499539
