distortion,flips_mean,flips_max,bytes_mean,recoverable,detect_ber0.00,detect_ber0.05,detect_ber0.10
identity,0.0,0,0.0,1.0,1.0,1.0,0.5567010309278351
jpeg-80,15.371134020618557,29,12.484536082474227,0.18556701030927836,0.18556701030927836,0.18556701030927836,0.09278350515463918
jpeg-50,22.835051546391753,62,16.443298969072163,0.020618556701030927,0.020618556701030927,0.020618556701030927,0.0
crop-90,24.0,41,17.22680412371134,0.020618556701030927,0.020618556701030927,0.020618556701030927,0.020618556701030927
crop-70,36.154639175257735,72,21.88659793814433,0.0,0.0,0.0,0.0
rot-5,32.824742268041234,62,21.164948453608247,0.0,0.0,0.0,0.0
rot-15,42.670103092783506,75,24.257731958762886,0.0,0.0,0.0,0.0
bright-0.7,3.670103092783505,9,3.5257731958762886,1.0,1.0,1.0,0.4948453608247423
bright-1.5,12.154639175257731,33,10.010309278350515,0.38144329896907214,0.38144329896907214,0.38144329896907214,0.2268041237113402
contrast-1.5,10.206185567010309,28,8.690721649484535,0.5257731958762887,0.5257731958762887,0.5257731958762887,0.31958762886597936
noise-0.02,14.989690721649485,33,12.030927835051546,0.21649484536082475,0.21649484536082475,0.21649484536082475,0.14432989690721648
crop-80+jpeg-60,33.865979381443296,60,21.298969072164947,0.0,0.0,0.0,0.0
crop-70+jpeg-50,40.371134020618555,69,23.237113402061855,0.0,0.0,0.0,0.0
rot-5+jpeg-70,36.44329896907217,82,22.288659793814432,0.0,0.0,0.0,0.0
noise+jpeg-60,24.432989690721648,58,17.216494845360824,0.020618556701030927,0.020618556701030927,0.020618556701030927,0.0
