distortion,flips_mean,flips_max,bytes_mean,recoverable,detect_ber0.00,detect_ber0.05,detect_ber0.10
identity,0.0,0,0.0,1.0,1.0,1.0,0.39285714285714285
jpeg-80,1.0714285714285714,3,1.0714285714285714,1.0,1.0,1.0,0.5357142857142857
jpeg-50,1.2857142857142858,3,1.2857142857142858,1.0,1.0,1.0,0.5714285714285714
crop-90,43.642857142857146,76,20.857142857142858,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.10714285714285714
crop-70,69.35714285714286,123,26.0,0.0,0.0,0.0,0.0
rot-5,44.0,81,22.785714285714285,0.0,0.0,0.0,0.0
rot-15,69.78571428571429,115,26.142857142857142,0.07142857142857142,0.07142857142857142,0.07142857142857142,0.03571428571428571
bright-0.7,61.42857142857143,112,23.285714285714285,0.21428571428571427,0.21428571428571427,0.21428571428571427,0.10714285714285714
bright-1.5,54.785714285714285,85,24.785714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.0
contrast-1.5,8.785714285714286,18,7.571428571428571,0.5714285714285714,0.5714285714285714,0.5714285714285714,0.21428571428571427
noise-0.02,1.5714285714285714,4,1.5,1.0,1.0,1.0,0.5714285714285714
crop-80+jpeg-60,58.714285714285715,100,24.428571428571427,0.0,0.0,0.0,0.0
crop-70+jpeg-50,68.21428571428571,120,25.714285714285715,0.0,0.0,0.0,0.0
rot-5+jpeg-70,43.57142857142857,80,22.571428571428573,0.0,0.0,0.0,0.0
noise+jpeg-60,3.2142857142857144,13,3.142857142857143,0.9285714285714286,0.9285714285714286,0.9285714285714286,0.32142857142857145
