distortion,flips_mean,flips_max,bytes_mean,recoverable,detect_ber0.00,detect_ber0.05,detect_ber0.10
identity,0.0,0,0.0,1.0,1.0,0.9995293840814166,0.5037159048571485
jpeg-80,13.349138184599093,66,10.986293311371258,0.9226621173794537,0.9226621173794537,0.9221718924642626,0.4647724375943683
jpeg-50,21.62219346236053,91,15.8891699511736,0.5751514794987941,0.5751514794987941,0.5747789085632489,0.29199756848442066
crop-90,24.939859207404357,88,17.56803341373022,0.403827676137812,0.403827676137812,0.40371002215816615,0.20291389689589584
crop-70,37.19946271349295,121,22.3432554856168,0.08271074769104066,0.08271074769104066,0.08269113869443301,0.04274761260466302
rot-5,35.74406337627703,98,21.955409141714217,0.09043669235445222,0.09043669235445222,0.09041708335784458,0.044532031295958584
rot-15,47.91470086475675,116,25.375571112026197,0.013412553679628214,0.013412553679628214,0.013412553679628214,0.006647449849991176
bright-0.7,4.181951879522325,24,3.9313096848834244,0.999941173010177,0.999941173010177,0.9996078200678471,0.5009118183422554
bright-1.5,16.437751240269037,104,12.656371943447654,0.7842029923328824,0.7842029923328824,0.7837912034041218,0.3955722885659941
contrast-1.5,14.997411612447792,97,11.882208757377885,0.8407357295527188,0.8407357295527188,0.8401866776477047,0.42259348589132695
noise-0.02,14.590191579896857,74,11.757573974939703,0.872855265996039,0.872855265996039,0.8723846500774556,0.43879051708924055
crop-80+jpeg-60,33.50369629586054,107,21.127536913936115,0.1344196717453968,0.1344196717453968,0.134243190775928,0.06853344314371433
crop-70+jpeg-50,39.624330842990766,123,23.093829048767574,0.05543463340980842,0.05543463340980842,0.05543463340980842,0.027903602172676824
rot-5+jpeg-70,38.361785987411025,105,22.839931760691805,0.05776810400611801,0.05776810400611801,0.05774849500951036,0.029217404945388943
noise+jpeg-60,22.414279271329686,91,16.315351883444123,0.527070219816852,0.527070219816852,0.5268153028609526,0.267662803694335
