distortion,flips_mean,flips_max,bytes_mean,recoverable,detect_ber0.00,detect_ber0.05,detect_ber0.10
identity,0.0,0,0.0,1.0,1.0,0.9995293840814166,0.5037159048571485
jpeg-80,1.07647508676981,10,1.0577484950095104,1.0,1.0,0.999450948094986,0.5050493166264682
jpeg-50,1.9028178128125184,20,1.84397121399298,1.0,1.0,0.9994705570915936,0.5052650155891523
crop-90,37.11600682393082,126,21.780418455987608,0.17026491754416925,0.17026491754416925,0.17020609055434632,0.0847108653450203
crop-70,69.19403102143264,183,28.18238327744769,0.021726768241269095,0.021726768241269095,0.021687550248053807,0.010451595191874032
rot-5,41.77247681236151,123,23.488832676431947,0.07969096221346354,0.07969096221346354,0.07961252622703296,0.039610173147440045
rot-15,70.7055120889464,156,28.64758711296743,0.011824224954409083,0.011824224954409083,0.011785006961193795,0.006255269917838304
bright-0.7,65.34892248563641,233,26.658117144145734,0.07151401062807616,0.07151401062807616,0.07147479263486087,0.036041335764848914
bright-1.5,57.15446006627841,225,25.922662117379453,0.06894523207247485,0.06894523207247485,0.0689256230758672,0.03476675098535208
contrast-1.5,11.55613075278938,36,9.7583387258074,0.9644488891503422,0.9644488891503422,0.9638214012588976,0.48396964527325137
noise-0.02,1.2085808969155047,11,1.1863639037590445,1.0,1.0,0.999450948094986,0.5024609290742593
crop-80+jpeg-60,55.83006843539816,146,26.25715238151264,0.04627723199403887,0.04627723199403887,0.04627723199403887,0.022177775163244897
crop-70+jpeg-50,69.19671745396788,182,28.183010765339137,0.021589505265015588,0.021589505265015588,0.021550287271800302,0.011373218032433281
rot-5+jpeg-70,41.5089907249446,123,23.417887326705493,0.08131850893189796,0.08131850893189796,0.08127929093868266,0.0406690589642528
noise+jpeg-60,2.1386159970194325,21,2.0678667372590542,0.9999803910033923,0.9999803910033923,0.9994313390983783,0.5059905484636351
